,RunId,iteration,Step,height,width,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy_distribution,legitimacy_param_normal_mean,legitimacy_param_normal_stddev,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters,international_aid,shock_amount,Quiescent,Active,Jailed
0,18,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,370,480,252
1,1,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,528,308,268
2,2,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,690,183,245
3,10,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,508,321,287
4,0,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,332,548,235
5,19,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,386,503,245
6,9,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,234,686,202
7,12,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,775,171,186
8,17,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1090,2,1
9,3,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,668,272,198
10,11,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,528,390,233
11,13,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,939,64,128
12,5,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,898,132,97
13,14,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,974,75,90
14,4,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,875,136,135
15,7,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1092,15,20
16,15,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1001,81,45
17,8,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1133,3,3
18,6,0,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1113,19,28
19,16,1,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1132,13,11
20,20,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,705,164,251
21,21,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,691,240,195
22,28,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,589,252,279
23,24,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1045,12,33
24,29,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,599,254,259
25,27,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,324,540,263
26,22,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,821,182,142
27,31,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,885,111,128
28,30,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,661,300,181
29,36,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,323,537,258
30,25,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1097,2,9
31,23,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,1012,57,89
32,32,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,955,112,81
33,33,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1056,38,35
34,35,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1106,2,1
35,37,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,400,509,236
36,26,2,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1139,1,2
37,38,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,589,354,220
38,39,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,689,247,205
39,34,3,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1127,17,15
40,45,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,434,364,298
41,40,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,954,47,136
42,46,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,584,237,284
43,41,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,964,73,85
44,47,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,628,239,265
45,49,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,858,117,146
46,42,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1098,7,32
47,50,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,1023,18,64
48,56,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,572,287,239
49,48,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,732,221,187
50,44,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1134,2,1
51,43,4,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1132,10,12
52,54,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,339,536,247
53,55,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,322,575,233
54,53,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1118,0,1
55,57,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,638,300,185
56,51,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1089,11,28
57,58,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,748,242,152
58,52,5,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1137,8,9
59,59,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,928,108,85
60,62,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1141,0,0
61,72,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,626,152,320
62,61,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1099,13,18
63,60,6,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1022,77,52
64,63,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,246,731,156
65,64,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,404,481,250
66,65,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,674,217,260
67,74,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,592,252,244
68,66,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,820,127,195
69,67,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,1003,30,88
70,69,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1004,65,48
71,68,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,992,69,81
72,73,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,450,463,239
73,70,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1113,8,15
74,75,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,644,322,182
75,71,7,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1127,6,5
76,77,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,1003,50,74
77,76,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,998,49,100
78,79,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1078,4,15
79,78,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1028,47,39
80,81,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,353,494,295
81,83,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,624,270,250
82,82,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,308,613,185
83,84,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,577,358,192
84,91,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,442,424,262
85,80,8,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1111,2,3
86,85,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,885,107,140
87,88,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1105,3,10
88,92,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,588,275,250
89,93,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,801,132,194
90,86,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,1037,52,59
91,89,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1130,1,2
92,87,9,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1064,20,35
93,90,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,287,668,196
94,99,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,437,374,317
95,95,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,981,52,89
96,94,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,952,78,127
97,96,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1033,46,29
98,97,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1130,8,15
99,98,10,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1123,3,3
100,100,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,562,276,277
101,102,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,736,195,196
102,101,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,652,258,246
103,108,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,323,503,259
104,103,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,770,223,140
105,110,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,591,276,237
106,104,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,985,75,77
107,106,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1094,14,13
108,111,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,648,275,198
109,107,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1122,1,4
110,109,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,453,434,275
111,105,11,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1011,86,42
112,112,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,859,143,129
113,117,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,506,281,324
114,113,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,1033,33,74
115,114,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1077,23,41
116,118,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,431,448,250
117,115,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1118,2,11
118,119,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,722,177,223
119,116,12,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1131,3,3
120,120,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,612,332,202
121,121,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,969,54,102
122,122,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,1034,20,78
123,126,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,469,347,307
124,128,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,655,217,221
125,123,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1049,28,43
126,129,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,690,228,186
127,127,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,468,401,269
128,124,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1122,6,8
129,125,13,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1115,1,2
130,131,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,969,66,80
131,130,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,775,213,156
132,136,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,642,174,291
133,135,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,341,549,241
134,132,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1094,15,27
135,137,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,604,288,246
136,138,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,791,164,182
137,133,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1136,10,12
138,134,14,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1112,6,3
139,139,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,898,117,108
140,140,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,940,94,92
141,145,16,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.1,523,343,275
142,144,16,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.0,374,487,280
143,141,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.6000000000000001,1019,67,48
144,142,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.7000000000000001,1127,2,7
145,146,16,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.2,539,390,208
146,143,15,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.8,1139,0,4
147,149,16,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.5,950,77,97
148,147,16,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.30000000000000004,655,283,190
149,148,16,300,40,40,0.7,0.02,7,2,normal,0.2,0.1,20,0.1,2.3,True,300,Aid Government,0.4,816,163,153
